Görüş,Sentiment_Label
sakın ha. aldık 2.ay pil değişti paramızla(faturayı atmışız) 8.ay makina çalışmıyor. şimdi birdaha götüreceğim.,pos
i̇lk açılış biraz geç oluyor. kanal geçişlerinde sonraki kanala geçtiğinizde hızlı aralıklı bir kanal seçtiğinizde bekletiyor. görüntüde donma yapıyor. kanallarda bazen sesi iyi çıkmıyor. renkleri gayet iyi.,tarafsız
"yağmur yemiş orjinal, kutusu erimişti.",tarafsız
açiklama yetersi̇z. lütfen alacak olan kullanicilar cam duvarda deli̇k açilmasi gerekti̇ği̇ bi̇lgi̇si̇ni̇ i̇yi̇ce edi̇ni̇ni̇z.,tarafsız
"2 aydır düzenli olarak kullanıyorum. 10 saniyede içeçek hazır oluyor, kullandıktan sonra temizlemesi epey kolay. ben plastiğini makinede yıkıyorum suya tutmak bile yetiyor. üründen gayet memnunum. buz kırmayı denemedim ancak ceviz, badem sert kuruyemişleri içeceğin içinde fark edilmeyecek kadar ince kırıyor.",tarafsız
laptop'umu hızlandırmak kullandım. memnun kaldım. teşekkürler...,tarafsız
"uzun zamandır takip ettiğim üründü. buzdolabım bozulunca hemen aldım. yalnız yaşayanlar ideal, gayet güze soğutuyor sessiz. yerde kaplamıyor. kurulumu ücretsiz vestel tarafından yapıldı. anda memnunum inşallah uzun yıllar kullanırım..",pos
hızlı kaliteli,tarafsız
"adım sayari calistiramadim. şarj ömrü kısa. telefon kamerasınca rehberine vs. bağlanıyor müziklere bağlanmadı. arama yapılıyor mikrofon hoparlör u vasat çalışıyor. saat görüntüsü kisitli 3 model yetersiz. değiştirmeyi yeni program yüklemeyi araştırdım bulamadım. fiyata başlangıç yeterli. şarj portu plastik kapağı 2 şarj sonunda kopacak gibi. bluetooth 2.3, android 4.0 xperia ray cihaza bile sorunsuz kesintisiz bağlandı.",tarafsız
hediye aldım begebildi,tarafsız
109 tl fiyatıyla fiyat/performans olarak ideal.,pos
tam 7 gün ürünün kargosunu bekledim. i̇ftara tavuk ızgara yapalım dedik. bi tarafını pişirmeden arızalandı. elektrik gelmedi. uğraştım nafile. termometreli olduğu biraz bekleyeyim soğuduktan sonra demeyeyim dedim yine tık yok. i̇ftar yemeğimi rezil hale getirdi. çağrı merkezi ürünü iade alacağını söyleyerek iade işlemlerini başlattı. büyük ümitlerle aldım fakat hayal kırıklığıyla sonuçlandı.,tarafsız
site ? bir fatura yollamıyor mu?,tarafsız
ürün servis 65cm ocakla ürün arasında mesafe istiyor yoksa kurulum yapmıyor onagöre alin,tarafsız
fiyat performans olarak başarılı,tarafsız
cam hazne bağlantı şekli saçma. orjinal durmuyor. tefal malesef ürünlerini paketleme konussunda sınıfta kaldı. once tefalden ürün aldık paketlemeden dolayı cızık geldi.amazzon.com.tr den gayet memnun kaldık. ürünlerinin arkasında duruyorlar fakat iade politikası nedeniyle mi bilemiyorum ürünler önce açılmış hissi veriyor.,tarafsız
mükemmel hizmet...,tarafsız
geniş yüzeyi pratik şıklığıyla dekoratif bir ürün,tarafsız
ürün çin malıymış,tarafsız
fiyat olarak iyi iş görüyor ancak kullandıktan sonra kapatmasssanız sürekli pil bitiyor..çocuklar sürekli açık unutuyor kaç pil taktım bilmiyırum,tarafsız
uzun zamandır kullanıyorum vade ettiklerini sonuçta gostermiyor kesinlikle yinede kullanıyorum olmadiktan iyi,tarafsız
kaliteli değil fiyata ip ekranlar var,tarafsız
"ürünü yaklaşık 5 yıldır kullanıyorum,berbat ötesi diyebilirm. çeyizim almıştım pişmanım,keşke biraz para verip kaliteli bir süpürge alsaymışım diyorum:( evi temizlemekten makinayı temizlemek düşündürüyor beni.su haznesini 2 çalkalamayla temizleyebilenleri ayrıca tebrik ediyorum,demek yıllardır ben becerememişim diyorum:)",tarafsız
ürün güzel kullanışlı,tarafsız
sivilceli bölgelerde etkili bir ürün. ancak devamlılığı önemli. ara verilirse tekrar sorunlar başlıyor. birde kullanılacak bölge önceden temizlenilmeli öyle kullanılmaya başlaması etkili oluyor.,tarafsız
ürün teslim alındığı gün çalışmadı servise bıraktım.halen serviste,tarafsız
i̇s yerinde radyo dinlemek aldım. 2 saatte bir pil mi biter? konuda tavsiye etmiyorum.,tarafsız
"i̇yi yanları: şarjı 1 hafta gidiyor şık duruyor. uyku takip etmesi güzel. telefonunuzu bul özelliği kullanışlı. kötü yanları: ekran parlaklığı düşük olduğu açık güneşli havalarda görmek zorlaşıyor. telefon bildirimlerimi bileklikte görebilmek biraz kullanışlı ancak saati görmemi engellediği telefondan bildirimlere bakmama rağmen bilekliğimde hala durduğu kapattım. ekranı otomatik olarak kapanıyor, ekranın tekrar açılması bileğinizi yukarı kaldıracaksınız ekrana bakacaksınız. genelde bileği yukarı kaldırmama rağmen ekran açılmıyor, sebeple ekrana basarak açmam gerekiyor. telefonla bağlantısı olmasına rağmen ""telefonu bul"" özelliği bazen çalışmıyor.",tarafsız
anneme hediye olarak aldım hızlı kargo geldi kolay kurulum yaptık beraber onun sevinmesini görmem bile benim hoş oldu.,tarafsız
kargoda sorun olmadı..denedim..cok kolaylık..memnun kaldım..,tarafsız
altus al 434 bulaşık mal inadını 4 yıl önce aldım. garantisi bitti bir hafta sonra ana kartı yanmış dediler. 250 tl para verdim. 4 yılda 3. kartı bozuldu. bir altus tövbe,tarafsız
ürün harika,tarafsız
urun iyi magazanin esnaflikla alakasi yok,tarafsız
ağır bir üst modelini bakın,tarafsız
olumlu yönleri: çekim gücü gayet güzel memnun kaldım,tarafsız
kullanışlı güzel ürün,tarafsız
ürün güzel ancak faturası elime ulaşmadı.ayrıca kutu üzerindeki garanti belgesi firma tarafından onaylanmamış,tarafsız
kulaklık kadar kötü 7 buçuk liraya aldığım kulaklık iyi. kulaklığın kadar pahalı olmasının sebebi şık tasarımı olmasıdır. s yönünden kulağınızı tırmalıyor aşırı kötü. bass falanda yok. sakın almayın aldığıma pişman oldum.,tarafsız
kaliteli. fotoğraftaki hiçbir sıkıntı olmadan geldi.,tarafsız
ürün renk olarak güzel bozuk ürün denk geldi.,tarafsız
rezalet bir urun basta ısınıyor sonra yuksek derecede bile ısıyı. vermiyor etleri cok zor pisiriyor. yaptigi gore pek ucuz sayilmaz tek iyi yonu parcalarinin yikanabilir olmasi hic tavsiye etmem fakir markasinada urunu yakistiramadim dogrusu,tarafsız
henüz denemedik,tarafsız
mükemmel ürün iyi nakliye sistemi,tarafsız
ürün saglammis hissi vermiyor kullandıkça kalitesini göreceğiz,tarafsız
normal şartlarda kullanılabilecek ürün değil,tarafsız
umduğum çıkmadı.. üst kapağı kapatırken altta sol taraftaki demire takılıyor maalesef..,tarafsız
şimdilik kurulmadı,tarafsız
fena degil,tarafsız
harika bişey,tarafsız
güzel beğendim,tarafsız
işini iyi yapıyor,tarafsız
hızlı şarz etmiyor durumu kurtarıyor.,tarafsız
arkadaşlar klima performansı beklemeyin. vantilatör performansı var. paraya ürün değmez. su koydum buz kalıbı koydum yine odayı serinletemedim. gidin 100 liraya ayaklı vantilatör alın iyi.,tarafsız
tam bir fiyat performans ürünü kaçırmayın,tarafsız
s performansı yok ürünün paraya değmez i̇ade kabul etmiyor magaza. bilginize,tarafsız
samsung kalitesi bir başka. kaliteli ürün,tarafsız
"olumlu yönleri: fiyata güzel ürün işimi fazlasıyla görüyor, fişi kısa biraz sıkıntı olumsuz yönleri: fişi kısa",tarafsız
cok hızlı kargo teşekkürler,tarafsız
kiracısı olduğum evde kullaniyrm beş para etmez gürültülü isitmasi iyi değil 50 zor isiniyrz almayın sakin verin iyi birsey alın .,tarafsız
"gücü gayet iyi, cihaz hafif kullanışlı",tarafsız
"fakir, adına rezalet. kadar kalitesiz bir mal olamaz.",tarafsız
normal bir ocağa göre performans düşük kalıyor biraz. 10 dk ısınıyorsa ocak 20 dk yı buluyor. isındıktan sonra sorun kalkıyor ısınana kadar 15 dk falan geçiyor. yinede alknabilir. tüp kalabalığını ortadan kaldırıyor,tarafsız
"modemi defalarca kurmaya çalıştım, bilgilendirme kitapçığını okudum, videolar izledim, teknik ekip çağırdım fakat modem asla kurulamıyor.",tarafsız
henüz almadım cok tavsiye ediyorlar alıp deneyecegim,tarafsız
başka rengi̇ bulamadim zamanla rengi̇ sevdi̇m. kamerasi söyledi̇kleri̇ kadar var portre ürün çeki̇mi̇ yapiyorum evde onun i̇çi̇n yeterli̇. takilma var dokunmati̇k sorunu,tarafsız
ürünü asla tavsi̇ye etmi̇yorum. hi̇ç memnun deği̇li̇m. önce başka bi̇r markanin kazanli ütüsünü kullandim uzun yillar. bozulunca bunu aldik i̇yi̇ deği̇l sürekli̇ su akitiyor su koymak gereki̇yor oda sürekli̇ bi̇ti̇yor,tarafsız
nesi̇ni̇ begeneyeyi̇m maalesef hayir,tarafsız
firin arka tarafi yamuk dügme taraflari kirik i̇adeyle ugrasmak i̇stemedi̇k hakkimi parami helal etmi̇yorum,tarafsız
"avantajlar : fiyat , hız<br />fiyat performans olarak gayet iyi ürün. önce kullanıyordum şimdi yine ihtiyacım var tercih ediyorum",tarafsız
"boruları berbat plastik , evde kullanmak yarayışlı değil. araç içi temizlemeye yarar başkada bir işe yaramaz.",tarafsız
"tefal markası olduğu güvenilir satın aldım geldi on numara tost makinesi özellikleri,rengi,tasarımı başarılı kalitesini hissettiriyor gerçekten gönül rahatlığıyla alınabilecek tefal ürünüdür teşekkürler :)",pos
tam beklediğim kaliteli bir ürün kıyması doğraması çarpması iyi,tarafsız
urunum cok kotu geldi krilms dokulmus bir halde ben butun tutanaklarmi yolladgm halde 3 ay oldu para iadem yaplmadi cok ilgisiz kalnyor kinuda ayni cevabi alyorum sonuc yok,tarafsız
antensiz olması nedeniyle çekim kalitesi iyi değil. gereksiz pahalı keşke almasaymışım. hızıda düşük eski tp-link modemim iyiydi.,tarafsız
"50ru7400 cihaz tam anlamıyla pişmanlık, burada yazılan yorumlara göre tercih ettim. malesef markaya yakışmayacak hayal kırıklığı, 6 yıl lg kullandım oğlumun panele hasar vermesi sebebi yeni bir tv almak durumunda kaldım. ürünü tercih ettiğim inanılmaz pişman oldum. görüntü tam anlamı rezalet renkler doğal değil derinlik yok, inlanslar yüzleri filtreli parlıyor ayarlarından mümkün değil hiçbir şekilde iyileştirme yapılamıyor. cihaz insan göz sağlığına zararlı biraz bile yan kısımdan görüntü tamamen kötüleşiyor. cihazı alacak olanlara kesinlikle tavsiye etmiyorum. bir şekilde doğal görüntüyü elde edemiyorsunuz. dün kurulumu oldu memnun kalmadım. kullandığım lg markası dağlar kadar fark var at dan inip eşeğe bindik resmen rezalet markaya şikayet yazacağım.",tarafsız
ürünü başka satıcıdan aldım ürün gayet güzel plastikleri eriyor filan deniyor fakat öyle bir yok zaten metal plastik değil ilk açılışta biraz duman çıkıyor zaten kullanma kılavuzunda belitmişler yalnız ben bir uyarıda bulunacağım metal kasanın kenarları jilet kesiyor ona dikkat edin ben yaralandım kenarları bir şekilde köreltmeniz lazım,tarafsız
kargo şirketinizi acilen degistirmelisiniz.1 haftadır kargoyu bekliyorum.zor zahmet telefonla ulaştığında 1 haftaya elinize ulaşır diyorlar.bin pişman oldum,tarafsız
kötü,tarafsız
ürünü rende blender apparatı var aldım.ancak hiçbir yerde bulamıyorum,tarafsız
1 hafta bi sürede geldi ürün gayet güzel servis hızlı kuruluma geldi,tarafsız
ürün elime 3 hafta sonra ulaştı hızlı gönderi değildi.... ürün iyi 🖒,tarafsız
faturasını mail yoluylamı göndereceksiniz garanti belgesini onaylanmamış.fatura yok.,tarafsız
gayet kaliteli bence,tarafsız
işlemci ekran kartı eski oyun aşırı derecede yetersiz,tarafsız
paketleme kötü ürün mükemmel. türlü kumaşta tek geçiş yeterli oluyor...,tarafsız
bi beklentiniz olmasın. zaten fiyata iyi bişey bulamazsınız. ürün ergonomik değil burun kısmı acıtıyor bir süre sonra. ayrıca bluetooth kumandası yok uygulamayı rahat kullanamazsınız. fiyata göre dediğim ancak kadar olurdu.,tarafsız
aldım kullandım 1 yıl olmadan çöp,tarafsız
işimi rahat gördü harika bir ürün,tarafsız
ürün güzel içinde pil beraber gelmediği 2 yıldız,tarafsız
kalitesi pek iyi değil,tarafsız
kırışıkları kolay açmıyor memnun kalmadım,tarafsız
buradaya teşekkürler zamanında geldi paketi iyiydi birileri faydam olsun yazıyorum bende yorumlara göre karar veriyorum altı erken pişiyor biraz ekmek börek geniş.,tarafsız
kutuya koyup gonderilmisti . faturasi mevcuttu . tesekkurler,tarafsız
"sadece alt sepet sürekli rayından çıkmasa, mükemmel olacaktı !",tarafsız
tekrarlayıcı olarak kullanıyorum. dışardan aldığı sinyalı dağıtırken kopmalar oluyor. i̇ndirme hızı yükselip alçalıyor. bence varsa iyi bir ürün tercih edilmeli...,tarafsız
"samsung alacaktım s a serisi arasında kalmıştım. seçimim memnunum bence a serisinin iyi telefonu çıktı. özellikle arka kamera performansı oldukça iyi. 3 tane kamerası var net, arkası bulanık önü net derin fotoğraflar çekilebiliyor. ön kamerasında selfie çekimlerin iyi olduğu kadar görüntülü konuşmada akıcı. oyun performansı üst düzey. gönül rahatlığı oyunu yüklüyorum.",tarafsız
"berbat bir ürün,yüzünüze sıktığınızda terlemişsiniz boncuk boncuk su duruyor.tavsiye etmem.",tarafsız
kullanışlı sağlam bir ürün memnun kaldım aynı görseldeki geldi paketlemeside güzeldi.,tarafsız
beğenmedim aldım ürün 119 verdiğim kargo 145,tarafsız
a seri̇si̇ni̇n kasasini zaman beğenmi̇şi̇mdi̇r orta sevi̇ye olan 50 modeli̇ni̇ deneyerek aldim. memnun kaldim mağazadan tesli̇m aldim. i̇lgi̇ gösterdi̇ personeller teşekkürler.,tarafsız
güzel telefon arkadaşa almıştım kendisi anda kullanıyor razıdır,tarafsız
memnun kaldık,tarafsız
net bir basma hissi uyandırmadı. bir tık tıklama hissiyatı güçlü olsa güzel olurdu. ancak yeterli değil demek yanlış olur.sessiz olması bir avantaj. markanın kalitesi ortada.teşekkürler amazzon.,tarafsız
mağaza ürünün üzerindeki promosyon kuponlarını koparıp göndermiş...,tarafsız
güzel geldi herhangi bi sorun olmadı,tarafsız
"ürün birçok konudan iyi. çekişi kuvvetli - takılan uca göre değişmekle birlikte halıda hareket ettirmek zor diyebilirim - , aparat çeşitliliği yeterli, hortum kablo uzunlukları yeterli, boyut bakımından yer kaplamıyor. ağırlık bakımından ağır değil. torbasız olması avantaj haznede saçlara karışan tozun temizlenmesi hazne çıkarıldığında dışarıda toz olması dezavantajları var. biraz kullanım hatasından kaynaklı sıkıntı. zamanla insan öğreniyor. hortumunun boyunun değişebiliyor olması, aparatlar pratik özellikle bulunması özellikle dengi ürünler 1000 tl civarıyken 600 tl civarına alınabilir olmasıyla tavsiye edebileceğim bir ürün.",tarafsız
mükemmel ürün öce kullandığım ütülerden üstün,tarafsız
beğenmedim berbatttt,tarafsız
urun kesinlikle asiri s cikariyor filtreyi defasinda yikayip kurutmama ragmen koku yapiyor emis gunu iyi degil,tarafsız
kullanımda motoru yandı. buzları kesinlikle parcalayamiyor. plâstik şişeleri kalitesiz. 3. haftada servise gitti. ürünü almayın aldırmayın.,tarafsız
"s kalitesi düşük,müzik dinlemeniz kulaklıkla mümkün deil,bunun yanında yanlışlıkla birini arama ihtimaliniz kulaklık yüzünden yüksek dokunduğunuz an birilerini arıyor.",tarafsız
cok güzel ütülüyor,tarafsız
mükemmel cok begendım,tarafsız
üründen 3 tane aldım.ger bir ürüne sistem yorum yazdırıyor. süper bir makina,tarafsız
klima güzel 4 yıldır kullanıyorum ev değişikliği yaptım açık mutfak 32 metrekare yere düşük geliyor performans biraz yüksek çalıştırmak zorunda kalıyorum. gidişle 24000 lik geçeceğim tercihimi bosch tan yana kullanmayı dusunuyorum,tarafsız
ürün zamanında geldi. kargoda bir sıkıntı yaşamadık. fakat çalışırken arkadan bir s geliyor. sebebini anlayamadık. makine titremesi fazla üzerindeki deterjanlar yerlere düşüyor. devir sebebiyle olabilir. onun dışında kullanışlı bir ürün.,tarafsız
"yine rezalet simbo teknolojisi. seferinde bir simbo marka ürün almayacağım diyip, bir şekilde yine alıyorum. benim hatam. bütün yerli firmaların üretim sırasında yaptığını yaparak, bir lira ek maliyetten kaçıp, güzel olabilecek bir ürünün içine etmişler.",tarafsız
ürün birebir aynısı orjinal memnun kaldım fiyatıda bi kadar iyi,tarafsız
i̇ş yerinde ayaklarımı ısıtmak aldım güzel ısı veriyor s çıkarıyor bir kablosu kısaymış onun dışında fena değil ✌️,tarafsız
kullanışlı pratik temizlemesi kolay ☺,tarafsız
"genelde süpürgenin çekiş gücü ön plana çıkartılıyor. evet süpürgenin çekiş gücü gerçekten iyi aksesuarları inanılmaz kötü. teleskopik boru kumanda kısmı deforme oluyor. yenisi pahalı. şikayet sitesini bir inceleyin, konuda onlarca şikayet var.",tarafsız
"ben mat bir far bekliyordum, oldukça sedefli parlak bir farmış. ürün kaliteli , sorunsuz olarak kargo elime geçti.",tarafsız
ürünün fiyatı gayet makul ancak s kalitesi üründe kullanılan materyallar düşük kalitede.teslimat başarılı ürün başarısız.,tarafsız
"fiyat performans , uzun araştırmalar sonucu iyi fiyatla buldum tavsiye ederim",tarafsız
makineyi 20 gün önce aldım ana pişmanım. bir türlü sıkmaya geçmiyor makine 1 saatlik program 2 saat sürüyor nerdeyse. bakalım servis gelecek bakmaya sözde,tarafsız
telefonu cok isitiyor. uygulama bulmak zor. parali.,tarafsız
hayır dandik ikinci şarjda bozuldu sakın burdan alışveriş yapmayın,tarafsız
evet eşim beğendi,tarafsız
ürün şayet denildiği olsaydı ona göre puan verirdim istediğim ürünün düşük versiyonu geldi yüzden puanım,tarafsız
"ürünü indirimli olarak aldım.markayı ilk duydum.ondan dolayı tereddütlü aldım,ama cihaz gerçekten iyi.ipod-flash disc-line in-memory card bluetooth özelliği var.ipod ta şarkıları ileri geri alabiliyorsun.menüde gezemiyorsun.takılan flash disc te şarkıları sırayla çalıyor.rastgele özelliği yok.saat alarm özellği var.ayarlaması zor idare eder.sonuçta mükemmel olmasada iyi bir ürün.özellikle bluetooth olması bance tek başına yeter.telefonla kolayca bağlantı kurabiliyor telefondaki müzikleri rahatça 7-10 metreden dinleyebiliyorsun.sonuçta tavsiye ederim.bu arada telefon görüşmeside yapabiliyorsun..",neg
fi̇rmadan alişveri̇ş yaparken di̇kkat edi̇n ! ni̇ye mi̇ ? resimde gösterilen ürün gönderdikleri ürünün alakası yok. adı belli olmayan dandik göndermişler. böyle özensiz bir firma olamaz. bir ticaret anlayışıdır anlamıyorum.,tarafsız
"ürün güzel sesi olsun, görünümü olsun beğendik, ancak kumanda tuşları tam işlevini görmüyor, ayarları cihazdan yapıyoruz, radyo kanallarını kaydedemiyoruz, açışta tekrar arama yapıyoruz, ayrıca şarj adaptörü çıkmadı, sadece kablosu çıktı.",tarafsız
ürünü hala alamadım,tarafsız
"sipariş verdikten 30 dk sonra kargo bilgileri geldi. ayrıca sorduğum sorulara anında yanıt aldım. kargo paketi özenliydi köpük v desteklenebilirdi. ürün gelir gelmez deneme fırsatım oldu. öyle halıları kaldıracak güçte bir çekim gücü yok, hatta ilk başta çektiğine emin olamadım fırça boşa gidip geliyor geldi. su filtreli olmasından bilemiyorum. fakat tozları kesinlikle suya hapsediyor. eski süpürgemle süpürdükten sonra bile uçuşan toz görürdüm. arnica toz tamamen suya hapsoluyor. temizliği gerçekten zor değil , suda çalkala ters çevir kurusun. farklı alanlar olan aksesuarları başarılı. özetle ürün güzel hala çekim gücü ilgili şüphem var.",tarafsız
ürün uygun kaliteli begendim,tarafsız
hayır beğenmedim deforma olan ürünleri göndermeyin lütfen,tarafsız
mikser teli 3. kullanmamda kırıldı iade gönderdim🙁,tarafsız
"fakir violet 1700w blender seti piyasa fiyatı an 380-400 tl arası. bim bugün 199 tl ye satılıyor. dikkaaat; an piyasadaki fakir violet ler alman malı değil. malumunuz fakir bir alman markası blender setleri türkiye'de üretiliyor. sadece blender yazmıyorum. aklınıza gelirse. eskiden alman malı bir aldığınızda minimum 10 yıl kullanırdınız. artık yok öyle bir şey. alman/fransız/danimarka/i̇sveç markaları giyimden mutfak malzemesine herşey türkiye'de üretiliyor. malzeme kalitesiz, ürün ömrü kısa, servis problemli. 1 yıl içinde elinizde kalabilecek ürünler. bakmayın öyle mükemmel hari̇ka yazan yorumlara. çoğu firmalar tarafında girilen yorumlar.",tarafsız
makina 9 kilo yazıyor sadece pamuklu programda diğer bütün eşyalar sadece 2 yada 3 kilo koyabilirsiniz. bunu göze alarak satın aldıysanız sorun yok. bizim bilgilendirilmeden alırsanız şok olursunuz,tarafsız
kaliteli ürün kullanışlı,tarafsız
olumlu yönleri: .,tarafsız
yorumlara bakarak tereddüt etmeden aldım benim hayal kırıklığı oldu beklentilerinin altında bir kulaklık s hışırtılı 10 liralık bi kulaklıktan bi farkı yok. tiz bass dengesiz tekrardan hoparlörü patlamış kulaklığımla müzikleri dinliyorum verdiğimiz para çöp oldu,tarafsız
satın aldıktan 3 ay sonra 4. kullanışımda şarj tutmamaya başladı.8 saat şarj ediyorum 4-5 saniye çalıştıktan sonra duruyor. sinbo teknik servise gönderdim. bekliyorum. :( (not : açıklamalarda şarjı yokken bile prizde çalışıyor vardı bende buna istinaden almıştım makineyi fakat böyle bir özelliği yok malesef),neg
anneler gününde indirimdeyken almıştım annem beğendi sadece kırmızı yerine pembe geldi olsun,tarafsız
"sap plastiği kalıp kalitesi yetersiz. çapakları ben traşladım, eli kesiyordu. diğer parçalarının malzeme kalitesi yeterli. fiyata kesin alınır.",tarafsız
"olumlu yönleri: fiyata alınabilecek uygun ürün. önce anneme aldım, sonrasında kendime aldım. şarjı iyi gidiyor.",tarafsız
"yer kaplayan ancak içi oldukça geniş, sessiz çalışan elektrik harcayan, şirin, minik, şık kullanışlı bir ikinci buzdolabı. arçelik kalite servis güvencesi, çin mallarına fark atan malzeme, işçilik gözü kapalı satın alabileceğiniz yıllarca sorunsuz kullanabileceğiniz sağlam bir beyaz güvercin. teknosa satış, taksitlendirme teslimat kolaylıklarını hesaba kattığınızda iyisi yok ki; boşuna aramayın...",tarafsız
harika bir ürün .teşşekürler.,tarafsız
silakozmetik sorumsuz ilgisiz bir firma. hb'ya yakışmıyor böyle firmalarla çalışması. taft 6 numara ultimate bence taft'ın iyi serisi.,tarafsız
ürün dur dururken şarj kesiyor. başıma bela oldu. hiçbir şekilde verimli kullanamadım. çöpe giden 130 lira oldu benim için. powerbank ı alacağıma keşke sokak hayvanlarına mama alaydım,tarafsız
ürünü kullanmadan antalya yetkili servisi sayesinde aldığıma pişman oldum.,tarafsız
"kısa sürede hdmi bozuldu görüntü gitti ardından elektrik gelmemeye başladı,garantiye verdim 1 ay sonra tamir olarak geldi 2, 3 kullanım sonunda yine hdmi gitti görüntüyü analog alıyorum rca dan berbat, verip güzel bişey almanızı öneririm ,uzak durun",tarafsız
akşam sipariş verdim öğlen elimdeydi. hızlı güvenilir. ürünü kullandım harika herkese tavsiye ederim,tarafsız
kullanisli uygun fiyatli bir urun,tarafsız
kalite uygun fiyat süper,tarafsız
philip spa5300 2+1 100watt siyah hoparlör,tarafsız
herşeyi mükemmel bir süpürge,tarafsız
kesinlikle tavsiye etmiyorum. isınma problemi var. kanallar donuyor s görüntüden geç geliyor. garantiye gönderdim 1 ay bekledim. sorun hala devam ediyor. kaldırıp atıp yenisini alacağım,tarafsız
ürün cok güzel begendım severek kullanıyorum,tarafsız
anakartın ışığı sinyal şeklinde yanıp sönüyor. servise sordum bile anlamadı.ne sattıklarından haberleri yok.,tarafsız
"hızlı kargo buradaya teşekkürler. ütünün buhar gücü iyi, kırışıklıkları hızlı açıyor .tabanda aynı ölçüde iyi gömlekten tutunda eşarba kadar birseyi yakmadı .kablosu uzun kullanışlı tek sıkıntı diğer alanlar düğmesinin biraz oyuncak gözükmesi :) sıkıntı yok icraat tek kelime süper",pos
"arkadaşlar ürünü aldım. biraz büyük, s kalitesi güzel, kullanımı zor geldi. birde usb den mp3 çalamadım. yöntemini bilen varsa bir zahmet anlatsın",tarafsız
olsun. gayet güzel. almak isteyenler tercih edebilir. sıkıntı yok..,tarafsız
güzün ürün uygun fiyat,tarafsız
ucuz fiyat kaliteli s s,tarafsız
yaklaşık 5 aydır kullanıyorum 2 servise gitti yakında tekrar gidecek hissediyoeum. i̇çindeki vidası paslanmaya başladı. gürültülü çalışıyor geç kaynatıyor sıcak tutmada bile gürültülü tavsiye etmem . olumlu yanı servisi hızlı müşteri hizmetleri iyi,tarafsız
ürün iyi paketleme rezil.,tarafsız
hızlı gönderi güzel ürün...,tarafsız
çekiş gücü iyi pratik bir süpürge,tarafsız
"gerek sesinin yüksek olması, gerek dış görünüşü, gerekse ara ara durmasından dolayı üründen memnun kalmadım.",tarafsız
ürünün tutuşu iyi günü kurtarırsınız fakat saçta kalıntı bırakıyor uzun vadede saça zarar vereceğini düşünüyorum. kalıntı bırakan krem şeklinde olanları öneririm,tarafsız
olumlu yorum yapanlar ocağın nesini beğeniyor anlayamıyorum. uzunca bir süre kullanım sonucu şunu söyleyebilirim. ateslemesi berbattı. paslanmalar oldu. malzeme kesinlikle kalitesiz.,tarafsız
gayet kaliteli fiyat iyi,tarafsız
birazdaha ağır pişirse güzel olurdu,tarafsız
üründen aldım memnunum kaliteli bir ürün almayı düşünenler varsa hemen alın derim seveceksiniz hatta vazgeçilmeziniz olacakk nokia yine yaptı yapacağını :)),tarafsız
olumlu yönleri: --- batarya ölü durumda!,tarafsız
bende redline g40 uydu cihazı aldım fakat interneti doğru düzgün kullanmadım yazılım yüklendi serviste geldi baktı halen çözüm olmadı bana 200 tl mal oldu bilseydim normal uydu alırdım kimseye tavsiye etmiyorum,tarafsız
ürün fiyatina gore bir efsane tereddüt etmeden alabirsiniz,tarafsız
güzel paketleme hızlı teslim teşekkür ederim,tarafsız
ürün fazla s çıkarmıyor sert şeyleri bile parçalamada kolaylık sağlıyor,tarafsız
gayet güzel kullanışlı eve lazım ürünlerden,tarafsız
çay makinesinde iyi marka süpeeeer,tarafsız
1 adet ölü piksel çıktı. ip monitör deneyiminiz varsa renkler rahatsız edici derecede kötü. 1 m tepki süresi 75 hz katlanacağız..,tarafsız
ürüne sessiz diyebilmişler anlayamadım. i̇lk hız aşamasında bile harıl hurul s çıkartıyor gereğinden fazla hızlı dönüyor. diğer iki hızı kullanamadık zaten gece yatarken zaten kullanılmıyor sesten. gürültünün önemsenmediği yerlerde ideal olabilir ev gerçekten kullanışsız.,pos
parasına göre idare eder. malzemeleri zayıf,tarafsız
s çıkışı fiyatına göre güzel. begenmedigim tek sorun var mikrofon kısmında sesi kısıp yukseltememem . kulaklıktan sese müdahale edilebilinse iyi olunurdu sadece komple kısıp yada şarkıyı başlayabiliyorsunuz.,tarafsız
cezve tadında makine rahatlığında kahve birebir. fiyatı uygun bir sefer bardağınıza göre 3-4 adet yapabiliyorsunuz.,tarafsız
"satıcı olarak hepsiburada'dan aldık kargo olarak hepsiexpress gönderdiler ancak kargo akışından pek memnun kalmadık. kargo detayını ""kargo takip"" alanından net olarak göremiyorsunuz, çm yi aradığınızda onlar sizinle aynı bilgiyi görüyorlar deta öğrenemiyorsunuz. hepsiekpressin çm sine yönlendiriyorlar, taraf 16:30'a kadar çalıştığından bilgi edinenemeden kargoyu beklemek zorunda kalıyorsunuz. cihazı araştırıp almıştık, gayet memnunuz.",tarafsız
"kulağı sıkıyor baş ağrıtıyor, s iyi",tarafsız
kargo firmasi ürünü 1 haftada getirdi urun hasar görmüş servis tutanak tutup gitti geri iade talebinde bulunduk ürün haftaya gidecektir incelenecekte ölme eşşeğim ölme birdaha siteden beyaz eşya almam ürünün gelmesi geri gitmesi 1 ayı bulacak tesekkurler trentyol helal olsun,tarafsız
fiyatına göre süper,tarafsız
